City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,Tobane,-21.95,27.9,53.62,94,2,9.04,BW,2020-09-03 00:00:43
264,Faizabad,26.78,82.13,77.94,94,87,4.63,IN,2020-09-03 00:00:43
265,Zyryanka,65.75,150.85,49.6,51,0,1.83,RU,2020-09-03 00:00:44
266,Sao Joao Da Barra,-21.64,-41.05,71.58,86,0,8.9,BR,2020-09-02 23:57:34
267,Sfantu Gheorghe,45.87,25.78,64.0,79,100,0.43,RO,2020-09-03 00:00:44
268,Road Town,18.42,-64.62,84.0,84,13,13.0,VG,2020-09-02 23:58:08
269,Puerto Del Rosario,28.5,-13.86,73.4,88,40,11.41,ES,2020-09-03 00:00:45
270,Tateyama,34.98,139.87,86.0,84,75,14.99,JP,2020-09-03 00:00:46
271,Newala,-10.94,39.28,62.53,100,61,3.85,TZ,2020-09-03 00:00:46
272,New Castle,41.0,-80.35,77.0,73,1,6.93,US,2020-09-02 23:58:49
273,Sola,-13.88,167.55,78.82,81,87,28.92,VU,2020-09-03 00:00:46
274,Otacilio Costa,-27.48,-50.12,58.82,93,94,6.51,BR,2020-09-03 00:00:47
275,Buzdyak,54.58,54.55,43.79,86,1,6.71,RU,2020-09-03 00:00:47
276,Avera,33.19,-82.53,86.0,84,1,4.7,US,2020-09-03 00:00:48
277,Morgan City,29.7,-91.21,88.0,74,40,6.93,US,2020-09-03 00:00:48
278,Kokopo,-4.35,152.26,84.34,64,12,3.29,PG,2020-09-03 00:00:49
279,Codrington,-38.27,141.97,53.8,79,18,20.42,AU,2020-09-03 00:00:49
280,Geraldton,-28.77,114.6,50.0,93,86,10.29,AU,2020-09-03 00:00:50
281,Wau,7.7,28.0,70.18,98,97,4.34,SS,2020-09-03 00:00:50
282,Houma,29.6,-90.72,89.6,62,1,5.82,US,2020-09-03 00:00:50
283,Poronaysk,49.22,143.12,63.57,93,100,0.94,RU,2020-09-03 00:00:51
284,Iquique,-20.22,-70.14,59.0,77,20,12.75,CL,2020-09-02 23:56:01
285,Marshfield,44.67,-90.17,73.4,40,1,8.05,US,2020-09-03 00:00:32
286,General Bravo,25.8,-99.17,99.01,31,99,17.83,MX,2020-09-03 00:00:51
287,Uromi,6.7,6.33,69.19,100,79,5.23,NG,2020-09-03 00:00:52
288,Kedrovyy,56.17,91.82,55.4,93,40,2.24,RU,2020-09-03 00:00:52
289,Naryan-Mar,67.67,53.09,43.05,85,63,7.58,RU,2020-09-03 00:00:52
290,Bathsheba,13.22,-59.52,82.4,78,75,8.05,BB,2020-09-03 00:00:52
291,Cairns,-16.92,145.77,81.0,65,90,11.41,AU,2020-09-03 00:00:53
292,Manhattan,40.78,-73.97,80.01,83,1,8.05,US,2020-09-02 23:59:51
293,Allentown,40.61,-75.49,80.6,83,40,4.7,US,2020-09-03 00:00:37
294,Vigrestad,58.57,5.7,57.0,93,31,4.0,NO,2020-09-03 00:00:54
295,Chalchihuites,23.48,-103.88,69.08,60,45,2.59,MX,2020-09-03 00:00:54
296,Zharkent,44.16,80.0,68.76,44,0,2.28,KZ,2020-09-03 00:00:54
297,Hun,29.13,15.95,81.28,27,0,11.43,LY,2020-09-03 00:00:54
298,Lorengau,-2.02,147.27,85.64,65,71,4.21,PG,2020-09-03 00:00:55
299,Jiexiu,37.02,111.91,67.06,39,0,3.78,CN,2020-09-03 00:00:55
